time;ffmpegPid;ffmpegMemMB;mtxPid;mtxMemMB;lumoraMemMB;capMemMB;ready;mbReceived;readers;framesInError;gpuPct;encPct;decPct;gpuTempC;logErrLines;lastFps;lastSpeed
2026-07-07 03:46:41;54680;276;53656;56;607;199;True;6005.4;1;0;8;10;14;51;119;;
2026-07-07 03:47:41;54680;221;53656;56;604;199;True;6049.9;1;0;8;8;10;52;119;;
2026-07-07 03:48:41;54680;221;53656;56;606;202;True;6094.2;1;0;7;6;12;52;119;;
2026-07-07 03:49:41;54680;221;53656;56;624;202;True;6138.4;1;0;8;8;14;52;119;;
2026-07-07 03:50:41;54680;221;53656;56;615;202;True;6182.6;1;0;8;10;13;52;119;;
2026-07-07 03:51:41;54680;221;53656;56;608;203;True;6226.9;1;0;8;7;10;52;119;;
2026-07-07 03:52:42;54680;221;53656;56;605;202;True;6271.2;1;0;8;8;9;52;119;;
2026-07-07 03:53:42;54680;221;53656;56;607;202;True;6315.4;1;0;8;8;10;53;119;;
2026-07-07 03:54:42;54680;221;53656;56;608;203;True;6359.8;1;0;7;7;10;53;119;;
2026-07-07 03:55:42;54680;221;53656;56;615;202;True;6404.1;1;0;8;8;14;53;119;;
2026-07-07 03:56:42;54680;221;53656;55;618;202;True;6448.4;1;0;8;10;18;53;119;;
2026-07-07 03:57:42;54680;221;53656;56;604;203;True;6492.7;1;0;8;9;14;53;119;;
2026-07-07 03:58:42;54680;221;53656;56;609;203;True;6536.9;1;0;9;9;10;53;119;;
2026-07-07 03:59:42;54680;221;53656;56;616;202;True;6581.2;1;0;9;9;11;53;119;;
2026-07-07 04:00:42;54680;221;53656;56;608;202;True;6625.6;1;0;8;5;49;54;119;;
2026-07-07 04:01:42;54680;221;53656;56;614;203;True;6669.8;1;0;9;9;11;54;119;;
2026-07-07 04:02:43;54680;221;53656;56;622;202;True;6714;1;0;8;9;8;54;119;;
2026-07-07 04:03:43;54680;221;53656;56;622;202;True;6758.3;1;0;7;8;9;54;119;;
2026-07-07 04:04:43;54680;221;53656;56;618;202;True;6802.6;1;0;9;10;13;54;119;;
2026-07-07 04:05:43;54680;221;53656;55;621;203;True;6846.8;1;0;8;6;8;54;119;;
2026-07-07 04:06:43;54680;221;53656;56;622;202;True;6891.1;1;0;9;10;13;54;119;;
2026-07-07 04:07:43;54680;221;53656;56;625;202;True;6935.5;1;0;8;7;12;54;119;;
2026-07-07 04:08:43;54680;221;53656;56;608;203;True;6979.7;1;0;9;10;14;54;119;;
2026-07-07 04:09:43;54680;221;53656;56;610;202;True;7024;1;0;9;9;15;54;119;;
2026-07-07 04:10:43;54680;221;53656;56;609;202;True;7068.2;1;0;9;10;9;54;119;;
2026-07-07 04:11:43;54680;221;53656;55;622;202;True;7112.6;1;0;9;9;15;54;119;;
2026-07-07 04:12:44;54680;221;53656;56;610;203;True;7156.9;1;0;8;8;11;54;119;;
2026-07-07 04:13:44;54680;221;53656;56;616;202;True;7201.1;1;0;9;11;14;54;119;;
2026-07-07 04:14:44;54680;221;53656;56;608;202;True;7245.5;1;0;8;7;12;54;119;;
2026-07-07 04:15:44;54680;221;53656;56;609;203;True;7289.9;1;0;9;10;10;54;119;;
2026-07-07 04:16:44;54680;221;53656;56;616;202;True;7334.1;1;0;9;11;10;54;119;;
2026-07-07 04:17:44;54680;221;53656;56;606;202;True;7378.4;1;0;8;8;10;54;119;;
2026-07-07 04:18:44;54680;221;53656;56;614;202;True;7422.7;1;0;9;8;8;54;119;;
2026-07-07 04:19:44;54680;221;53656;56;607;203;True;7466.9;1;0;8;8;13;54;119;;
2026-07-07 04:20:44;54680;221;53656;56;630;202;True;7511.2;1;0;9;10;8;55;119;;
2026-07-07 04:21:44;54680;221;53656;56;614;202;True;7555.5;1;0;8;8;10;55;119;;
2026-07-07 04:22:45;54680;221;53656;57;606;203;True;7599.8;1;0;9;9;13;55;119;;
2026-07-07 04:23:45;54680;221;53656;56;605;202;True;7644.1;1;0;8;7;16;55;119;;
2026-07-07 04:24:45;54680;221;53656;56;606;202;True;7688.3;1;0;7;8;10;55;119;;
2026-07-07 04:25:45;54680;221;53656;57;615;202;True;7732.8;1;0;6;9;3;54;119;;
2026-07-07 04:26:45;54680;221;53656;56;607;203;True;7777.2;1;0;6;6;4;54;119;;
2026-07-07 04:27:45;54680;221;53656;56;618;203;True;7821.3;1;0;6;6;8;54;119;;
2026-07-07 04:28:45;54680;221;53656;57;622;202;True;7865.6;1;0;6;7;7;54;119;;
2026-07-07 04:29:45;54680;221;53656;56;619;202;True;7909.8;1;0;5;5;10;54;119;;
2026-07-07 04:30:45;54680;221;53656;57;608;203;True;7954.2;1;0;6;8;8;54;119;;
2026-07-07 04:31:45;54680;221;53656;56;606;203;True;7998.5;1;0;6;6;4;54;119;;
2026-07-07 04:32:46;54680;221;53656;56;614;206;True;8043.2;1;0;5;6;6;54;119;;
2026-07-07 04:33:46;54680;221;53656;56;613;207;True;8088.2;1;0;5;6;6;54;119;;
2026-07-07 04:34:46;54680;221;53656;56;614;212;True;8133.1;1;0;6;9;6;54;119;;
2026-07-07 04:35:46;54680;221;53656;57;605;212;True;8178.1;1;0;6;8;7;54;119;;
2026-07-07 04:36:46;54680;221;53656;56;618;212;True;8223.1;1;0;5;6;4;53;119;;
2026-07-07 04:37:46;54680;221;53656;57;618;212;True;8267.8;1;0;5;7;11;53;119;;
2026-07-07 04:38:46;54680;221;53656;57;621;213;True;8312.7;1;0;6;6;11;53;119;;
2026-07-07 04:39:46;54680;221;53656;56;620;214;True;8357.5;1;0;5;7;4;53;119;;
2026-07-07 04:40:46;54680;221;53656;56;619;214;True;8402.2;1;0;6;7;5;53;119;;
2026-07-07 04:41:46;54680;221;53656;57;616;213;True;8447.2;1;0;5;7;5;53;119;;
2026-07-07 04:42:47;54680;221;53656;57;623;213;True;8491.9;1;0;6;7;6;53;119;;
2026-07-07 04:43:47;54680;221;53656;57;607;218;True;8536.9;1;0;6;7;3;53;119;;
2026-07-07 04:44:47;54680;221;53656;57;614;218;True;8581.5;1;0;6;7;6;53;119;;
2026-07-07 04:45:47;54680;221;53656;57;609;218;True;8626.1;1;0;5;7;9;53;119;;
2026-07-07 04:46:47;54680;221;53656;56;622;219;True;8670.5;1;0;6;8;12;53;119;;
2026-07-07 04:47:47;54680;221;53656;57;610;212;True;8715.1;1;0;6;8;15;53;119;;
2026-07-07 04:48:47;54680;221;53656;56;614;212;True;8759.5;1;0;4;9;4;53;119;;
2026-07-07 04:49:47;54680;221;53656;56;611;214;True;8804.1;1;0;5;7;6;53;119;;
2026-07-07 04:50:47;54680;221;53656;57;615;216;True;8848.5;1;0;6;9;7;53;119;;
2026-07-07 04:51:47;54680;221;53656;57;616;216;True;8892.8;1;0;6;7;12;53;119;;
2026-07-07 04:52:48;54680;221;53656;57;618;217;True;8937;1;0;6;7;9;53;119;;
2026-07-07 04:53:48;54680;221;53656;57;622;217;True;8981.4;1;0;6;9;7;53;119;;
2026-07-07 04:54:48;54680;221;53656;57;620;220;True;9025.5;1;0;6;8;13;53;119;;
2026-07-07 04:55:48;54680;221;53656;57;619;220;True;9069.5;1;0;6;8;7;53;119;;
2026-07-07 04:56:48;54680;221;53656;57;613;220;True;9113.6;1;0;6;7;6;53;119;;
2026-07-07 04:57:48;54680;221;53656;57;623;221;True;9157.7;1;0;6;8;5;53;119;;
2026-07-07 04:58:48;54680;221;53656;57;611;221;True;9201.8;1;0;6;6;8;53;119;;
2026-07-07 04:59:48;54680;221;53656;57;618;221;True;9245.7;1;0;5;8;5;53;119;;
2026-07-07 05:00:48;54680;221;53656;57;619;220;True;9289.8;1;0;5;7;6;53;119;;
2026-07-07 05:01:48;54680;221;53656;57;613;220;True;9333.8;1;0;6;8;6;53;119;;
2026-07-07 05:02:49;54680;221;53656;57;618;220;True;9377.7;1;0;6;10;6;53;119;;
2026-07-07 05:03:49;54680;221;53656;56;606;222;True;9421.9;1;0;6;8;3;53;119;;
2026-07-07 05:04:49;54680;221;53656;57;616;222;True;9466;1;0;5;7;5;53;119;;
2026-07-07 05:05:49;54680;221;53656;57;611;224;True;9509.9;1;0;6;6;4;53;119;;
2026-07-07 05:06:49;54680;221;53656;57;615;224;True;9554;1;0;6;6;5;53;119;;
